Aircraft Type	Type	Description	Part Number	Manufacture	Need Type	Priority	Price as Listed	Qty	Total Cost	Web links	PO Number	TL Number (For Tooling )	Status	Base	Comments	Recieved?
525 CJ1, 525A CJ2, 525B CJ3, 525C CJ4, Citation X+, Citation X, 560XL-XLS+, 560XL-XLS, 560XL Excel	Part	hydraulic pump installation gasket	S3365-1 (alt AS3492-01)		Needed For Standard Inspections	Stage 1		2	$0.00	https://shop.boeing.com/aviation-supply/p/AS3492-01=15	RQ25-00014.1		Ordered		Approved	
525 CJ1, 525A CJ2, 525B CJ3, Citation X, 560XL-XLS, 560XL-XLS+	Part	ice detector bulb	6838		For Parts Stocking	Stage 1	$0.34	2	$0.68	https://shop.boeing.com/aviation-supply/p/6838=1F	RQ25-00015.1		Ordered		Approved	
525 CJ1, 525A CJ2, 525B CJ3, Citation X+, Citation X, 560 Citation V, 560 Encore, 560 Encore+, 560 Ultra	Part	landing light bulb	Q4681		For Parts Stocking	Stage 1	$21.19	2	$42.38	https://shop.boeing.com/aviation-supply/p/Q4681=1F	RQ25-00016.1		Ordered		Approved	
525 CJ1, 525A CJ2	Part	main tire	9912576-1 (22X7.75-10 12ply) (alt 026-528-0		For Parts Stocking	Stage 1	$827.26	1	$827.26	https://shop.boeing.com/aviation-supply/search?text=026-528-0	RQ25-00017.1		Ordered		Approved	
525 CJ1, 525A CJ2	Part	nose tire	030-611-0 (alt. 184F68-1 or 9914070-1)		For Parts Stocking	Stage 1	$689.95	1	$689.95	https://shop.boeing.com/aviation-supply/search?text=030-611-0	RQ25-00018.1		Pending Approval			
525 CJ1, 525A CJ2, 525B CJ3, 525C CJ4, 560 Citation V, 560 Encore, 560 Encore+, 560 Ultra, 560XL Excel, 560XL-XLS, 560XL-XLS+, Citation X, Citation X+	Part	oring for brake reserivor air filter (X2)	MS28778-6		For Parts Stocking	Stage 1	$1.03	2	$2.06	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/MS28778-6	RQ25-00019.1		Ordered		Approved	
525 CJ1	Part	oring fuel drain valve	M25988/1-010		Needed for Repairs	Stage 1	$0.55	2	$1.10	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/M25988-1-010	RQ25-00021.1		Ordered		Approved	
525 CJ1, 525A CJ2, 525B CJ3, 525C CJ4, 560 Citation V, 560 Encore, 560 Encore+, 560 Ultra, 560XL Excel, 560XL-XLS, 560XL-XLS+	Part	oring fuel drain valve	MS29513-020		For Parts Stocking	Stage 1	$0.37	2	$0.74	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/MS29513-020	RQ25-00020.1		Ordered		Approved	
525 CJ1	Part	power supply nav and anticollision lights	04-1502-1408		For Parts Stocking	Stage 1		1	$0.00		RQ25-00022.1		Sourcing		waiting for vendors	
525 CJ1, 525A CJ2, 525B CJ3, Citation X, 560XL-XLS, 560XL-XLS+	Part	recogniton bulb	34-0226010-91		For Parts Stocking	Stage 1	$77.14	1	$77.14	https://shop.boeing.com/aviation-supply/p/34-0226010-91=3Y	RQ25-00023.1		Ordered		Approved	
525 CJ1, 525A CJ2, 525B CJ3, 525C CJ4, 560XL-XLS, 560XL-XLS+	Part	screw, wing fuel panel	S3322S10-15		For Parts Stocking	Stage 1	$0.47	30	$14.10	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/S3322S10-15	RQ25-00024.1		Ordered		Approved	
525 CJ1, 525A CJ2, 525B CJ3, 525C CJ4, Citation X, Citation X+, 560XL-XLS, 560XL-XLS+	Part	starter/generator gasket (X2 per installation)	S3365-1 (alt. AS3492-01)		For Parts Stocking	Stage 1	$2.69	2	$5.38	https://shop.boeing.com/aviation-supply/p/AS3492-01=15	RQ25-00025.1		Ordered		Approved	
525 CJ1	Part	starter/generator oring	M83248/1-113		For Parts Stocking	Stage 1	$0.46	2	$0.92	https://shop.boeing.com/aviation-supply/p/M83248-1-113=15	RQ25-00027.1		Ordered		Approved	
