Aircraft Type	Type	Description	Part Number	Manufacture	Need Type	Priority	Price as Listed	Qty	Total Cost	Web links	PO Number	TL Number (For Tooling )	Status	Base	Comments	Recieved?
525C CJ4	Tool	horizontal stabilizer assy lifting fixture	CJMD8C55-001	Cessna	Needed for Repairs	Stage 3	$34,567.93		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/CJMD8C55-001			In Research			
525A CJ2, 525B CJ3	Tool	hydraulic ground power unit	CJMD812-002	Cessna	Needed For Standard Inspections	Stage 3			$0.00				Owned		Owned	
525A CJ2, 525B CJ3, 525C CJ4	Tool	main gear oleo tool	CJMD832-005	Cessna	Optional	Stage 3	$529.00		$0.00	https://aeroval.com/ref/493208/CJMD832-005/			In Research			
525A CJ2	Tool	pressurization cart	6388008-1 (CJMD821-001)	Cessna	Needed For Standard Inspections	Stage 3			$0.00				Own Equivilent		Not needed, alternate on hand	
525C CJ4	Tool	roll force tool	CJMD8C31-002	Cessna	Needed For Standard Inspections	Stage 3			$0.00				Sourcing			
525B CJ3	Tool	Rubber/Seam Roller	75-5410-0401-8		Needed for Repairs	Stage 3	$35.00		$0.00				In Research			
525C CJ4	Tool	rudder bias torque adapter tool	CJMD8B27-002	Cessna	Needed For Standard Inspections	Stage 3			$0.00				In Research			
525C CJ4	Tool	rudder pedal force tool	CJMD8C31-003	Cessna	Needed For Standard Inspections	Stage 3			$0.00				In Research			
525 CJ1, 525A CJ2, 525B CJ3, 525C CJ4	Tool	SARSAT Tester	455-9100	Airtex Systems	Need For Advanced Troubleshooting	Stage 3			$0.00				In Research			
525A CJ2, 525B CJ3	Tool	windshield bleed air anti-ice test tube	CJMD130-100	Cessna	Needed for Repairs	Stage 3	$533.00		$0.00	https://aeroval.com/ref/493049/CJMD130-100/			In Research			
525A CJ2, 525B CJ3	Tool	wing light tool	CJMD8A33-001	Cessna	Optional	Stage 3			$0.00				In Research			
525 CJ1, 525A CJ2, 525B CJ3, 525C CJ4	Part	hydraulic filter w/ oring	9912579-2		For Parts Stocking	Stage 4	$909.99		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/9912579-2			In Research			
525 CJ1, 525A CJ2	Part	main ship battery (28AMP Hour)	9914058-9	Marathon	Optional	Stage 4	$25,853.00		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/9914058-9			Sourcing			
525 CJ1	Part	main ship battery (44 AMP Hour)	9914058-6	Marathon	Optional	Stage 4	$12,095.00		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/9914058-6			Sourcing			
525 CJ1	Part	starter/generator	9912125-2 (alt. -3/-4)		Needed for Repairs	Stage 4	$17,280.00		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/9912125-2			Sourcing			
525A CJ2, 525B CJ3	Tool	bleed air cap(block off) (FJ44-2C)	NK1008346-10	Cessna	Needed for Repairs	Stage 4	$1,022.34		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/NK1008346-10			In Research		Waiting for vendors	
525A CJ2, 525B CJ3	Tool	bleed air cap(block off) (FJ44-3A)	CJMD8B71-001	Cessna	Needed for Repairs	Stage 4	$2,677.25		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/CJMD8B71-001			In Research			
525C CJ4	Tool	engine bleed air cap	CJMD8C36-001	Cessna	Optional	Stage 4	$3,600.00		$0.00	https://aeroval.com/ref/493322/CJMDS36-001/			In Research			
525C CJ4	Tool	altitude encoder test set	2656-G	Barfield Instrument	Needed For Standard Inspections	Stage 4			$0.00				Sourcing			
525C CJ4	Tool	ARINC 429 PCMCIA card	CM429-1	Ballard Technology	Optional	Stage 4			$0.00				Sourcing			
525C CJ4	Tool	cabin door hinge inner eccentric wrench	CJMD8C52-004	Cessna	Needed for Repairs	Stage 4			$0.00				Sourcing			
525C CJ4	Tool	cabin door hitch outer eccentric wrench	CJMD8C52-003	Cessna	Needed for Repairs	Stage 4			$0.00				Sourcing			
525C CJ4	Tool	cabin door latch inner eccentric wrench	CJMD8C52-002	Cessna	Needed for Repairs	Stage 4			$0.00				Sourcing			
525C CJ4	Tool	cabin door latch outer eccentric wrench	CJMD8C52-001	Cessna	Needed for Repairs	Stage 4			$0.00				Sourcing			
525C CJ4	Tool	cabin door sight glass wrench	CJMD8C52-005	Cessna	Needed for Repairs	Stage 4	$8,821.22		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/CJMD8C52-005			Sourcing			
525A CJ2, 525B CJ3	Tool	calbration standard	CJMD156-101	Cessna	Optional	Stage 4			$0.00				Sourcing			
525C CJ4	Tool	camber adjustment tool	CJMD8C32-001	Cessna	Needed for Repairs	Stage 4	$6,643.00		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/CJMD8C32-001			Sourcing			
525A CJ2, 525B CJ3, 525C CJ4	Tool	control surface balance fixture kit	5180002-1	Cessna	Needed for Repairs	Stage 4	$1,171.00		$0.00	https://aeroval.com/ref/995749/5180002-1/			Sourcing			
525C CJ4	Tool	DCU rigging harness	8788019-1	Cessna	Needed for Repairs	Stage 4			$0.00				Sourcing			
525C CJ4	Tool	elevator streamline fixture	CJMD8C27-002	Cessna	Needed For Standard Inspections	Stage 4			$0.00				Sourcing			
525A CJ2, 525B CJ3	Tool	elliptical wing refinsihing tool kit	CJMD820-001B	Cessna	Optional	Stage 4			$0.00				Sourcing			
525C CJ4	Tool	engine lift adapter	K-2012	Tronair	Needed for Repairs	Stage 4	$9,966.00		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/K-2012			Sourcing			
525A CJ2	Tool	left elevator rig boards	OF49-01483 (CJMD8A27-003)	Cessna	Needed For Standard Inspections	Stage 4	$9,045.74		$0.00	https://www.airpowerinc.com/cjmd8a27-004			Sourcing			
525A CJ2, 525B CJ3, 525C CJ4	Tool	main gear oleo tool kit	CJMD832-001	Cessna	Needed for Repairs	Stage 4			$0.00				Sourcing			
525A CJ2, 525B CJ3	Tool	main gear trunnion pin bore go gauge	CJMD832-007	Cessna	Needed for Repairs	Stage 4			$0.00				Sourcing			
525A CJ2	Tool	main landing gear trunnion bearing removal 	CJMD832-006	Cessna	Needed for Repairs	Stage 4			$0.00				Sourcing			
525C CJ4	Tool	PCB breakout box	PCB60M	Cessna	Need For Advanced Troubleshooting	Stage 4	$2,680.00		$0.00	https://aeroval.com/ref/514810/PCB60/			Sourcing			
525C CJ4	Tool	pitch force tool	CJMD8C31-001	Cessna	Needed For Standard Inspections	Stage 4			$0.00				Sourcing			
525A CJ2, 525B CJ3	Tool	right elevator rig boards	OF49-01483 (CJMD8A27-004)	Cessna	Needed For Standard Inspections	Stage 4	$9,045.74		$0.00	https://www.airpowerinc.com/cjmd8a27-004			Sourcing			
525C CJ4	Tool	rudder check fixture	CJMD8C27-001	Cessna	Needed For Standard Inspections	Stage 4			$0.00				Sourcing			
525C CJ4	Tool	static port adapter	33410SM-125-4	Nav-Aids	Needed For Standard Inspections	Stage 4			$0.00				Sourcing			
525A CJ2, 525B CJ3	Tool	throttle switch test box	6588002-1	Cessna	Optional	Stage 4	$3,241.00		$0.00	https://aeroval.com/ref/446055/6588002-1/			Sourcing			
525C CJ4	Tool	Thruline RF wattmeter	Model 43	Bird Electronic	Need For Advanced Troubleshooting	Stage 4			$0.00				Sourcing			
525A CJ2, 525B CJ3	Tool	thrust attenuator rig tool	CJMD8A78-001	Cessna	Optional	Stage 4			$0.00				Sourcing			
525C CJ4	Tool	underwater locator beacon (ULB) test set	Dukane Model 42A12	Cessna	Needed For Standard Inspections	Stage 4			$0.00				Sourcing			
525 CJ1, 525A CJ2, 525B CJ3, 525C CJ4	Part	hydraulic filter Assembly	9912579-1 		For Parts Stocking	Stage 5	$4,083.00		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/9912579-1			Sourcing			
525B CJ3	Tool	Helium Leak Detector	ASM 310	Alcatel vaccum products	Need For Advanced Troubleshooting	Stage 5			$0.00				Sourcing			
525A CJ2, 525B CJ3, 525C CJ4	Tool	lighting diverter strip locting tool	CJMD853-001	Cessna	Optional	Stage 5			$0.00				Sourcing			
525A CJ2, 525B CJ3, 525C CJ4	Tool	main gear camber adjustment tool	CJMD8A32-001	Cessna	Needed for Repairs	Stage 5			$0.00				Sourcing			
525 CJ1, 525A CJ2, 525B CJ3, 525C CJ4, 560 Citation V, 560 Encore, 560 Encore+, 560 Ultra, 560XL Excel, 560XL-XLS, Citation 650, Citation 550, Citation 700, Citation X+, Citation X, 560XL-XLS+, Citation 500/501	Tool	Grease Lubrication Kit	ACK-2 	Macnaught	Needed For Standard Inspections	MRO Tooling Wishlist	$550.00	1	$550.00	https://www.macnaughtusa.com/products/aviation-lube-kit-pn-ack2-02?utm_source=google&utm_medium=cpc&utm_campaign=FH-Aviation-Lube-Kit-EPM&utm_term=ACK-2&utm_term=aviation%20lube%20kit&utm_campaign=FH-Aviation-Lube-Kit-EPM&utm_source=adwords&utm_medium=ppc&hsa_acc=7379054809&hsa_cam=22871813752&hsa_grp=182234283303&hsa_ad=767942848533&hsa_src=g&hsa_tgt=kwd-2440181785361&hsa_kw=aviation%20lube%20kit&hsa_mt=p&hsa_net=adwords&hsa_ver=3&gad_source=1&gad_campaignid=22871813752&gbraid=0AAAAADEWd6_sUZHNP6xNFSTXNYBR_tK5g&gclid=Cj0KCQiArOvIBhDLARIsAPwJXObO3bE2QUJlm-jCJP4VM2qoMvSXjfZCYGA0NQKD50wrcNYyWktt6FcaAkEVEALw_wcB 						
									$0.00							
									$0.00							
									$0.00							
525B CJ3	Consumable	Benzalkonium Choloride	APN 00-2572	Safran Oxygen systems. (Formerly Avox)	Optional		$250.80 			https://www.spectrumchemical.com/benzalkonium-chloride-solution-50-percent-nf-b1068?srsltid=AfmBOooaQowaavbHwc1QhY0LDSKlBe50HYdah8YfmH1zqXJbczIcIwgJ			Sourcing			
